11905	8	OnlineShopOrderItem	7256	object	7256	Compactlight 2	1	89.955	\N	\N	\N	\N	\N
11907	8	OnlineShopOrderItem	1574	object	1574	Alegro	1	41.98	\N	\N	\N	\N	\N
11908	8	OnlineShopOrderItem	1116	object	1116	College	2	159.66	\N	\N	\N	\N	\N
11909	8	OnlineShopOrderItem	1461	object	1461	Beach Tec	1	77.94	\N	\N	\N	\N	\N
11910	8	OnlineShopOrderItem	1523	object	1523	Speed Rebel Women	1	7.19	\N	\N	\N	\N	\N
11912	8	OnlineShopOrderItem	3360	object	3360	FORCE HG	1	44.66	\N	\N	\N	\N	\N
11913	8	OnlineShopOrderItem	1141	object	1141	Game	1	97.55	\N	\N	\N	\N	\N
11916	8	OnlineShopOrderItem	1191	object	1191	FORCE HG Jr	4	21.4	\N	\N	\N	\N	\N
11917	8	OnlineShopOrderItem	1461	object	1461	Beach Tec	1	77.94	\N	\N	\N	\N	\N
11918	8	OnlineShopOrderItem	1619	object	1619	RUNlight Doug	1	32.43	\N	\N	\N	\N	\N
11919	8	OnlineShopOrderItem	6543	object	6543	Enduro Ultralight	1	89.955	\N	\N	\N	\N	\N
11921	8	OnlineShopOrderItem	6836	object	6836	Rimrock men	1	99.95	\N	\N	\N	\N	\N
11923	8	OnlineShopOrderItem	1995	object	1995	Harlem	1	83.41	\N	\N	\N	\N	\N
11924	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.66	\N	\N	\N	\N	\N
11925	8	OnlineShopOrderItem	1708	object	1708	Game	1	58	\N	\N	\N	\N	\N
11929	8	OnlineShopOrderItem	10388	object	10388	Mirella Peak Jr	1	49.95	\N	\N	\N	\N	\N
11930	8	OnlineShopOrderItem	10516	object	10516	Helium 75	1	29.95	\N	\N	\N	\N	\N
11934	8	OnlineShopOrderItem	3308	object	3308	Classic FG	1	43.48	\N	\N	\N	\N	\N
11940	8	OnlineShopOrderItem	3427	object	3427	FORCE HG	3	133.98	\N	\N	\N	\N	\N
11973	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.48	\N	\N	\N	\N	\N
11977	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.66	\N	\N	\N	\N	\N
11981	8	OnlineShopOrderItem	1199	object	1199	FORCE Pro Bag Sr.	1	64.97	\N	\N	\N	\N	\N
11983	8	OnlineShopOrderItem	1711	object	1711	All Court	1	12.79	\N	\N	\N	\N	\N
11987	8	OnlineShopOrderItem	1199	object	1199	FORCE Pro Bag Sr.	1	64.97	\N	\N	\N	\N	\N
11989	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.48	\N	\N	\N	\N	\N
11993	8	OnlineShopOrderItem	1199	object	1199	FORCE Pro Bag Sr.	1	64.97	\N	\N	\N	\N	\N
11995	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.48	\N	\N	\N	\N	\N
12002	8	OnlineShopOrderItem	1529	object	1529	Ferdi	1	32.01	\N	\N	\N	\N	\N
12005	8	OnlineShopOrderItem	10388	object	10388	Mirella Peak Jr	1	49.95	\N	\N	\N	\N	\N
12007	8	OnlineShopOrderItem	9260	object	9260	Albany wms	1	99.95	\N	\N	\N	\N	\N
12009	8	OnlineShopOrderItem	1573	object	1573	Ilona	1	39.87	\N	\N	\N	\N	\N
12011	8	OnlineShopOrderItem	1139	object	1139	Supreme Grip	1	99.17	\N	\N	\N	\N	\N
12015	8	OnlineShopOrderItem	10607	object	10607	Mirella Peak Jr	1	49.95	\N	\N	\N	\N	\N
12019	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.66	\N	\N	\N	\N	\N
12068	8	OnlineShopOrderItem	4661	object	4661	Ilona	1	39.87	\N	\N	\N	\N	\N
12070	8	OnlineShopOrderItem	2015	object	2015	College	1	80.34	\N	\N	\N	\N	\N
12072	8	OnlineShopOrderItem	1190	object	1190	Classic FG Jr	1	33.7	\N	\N	\N	\N	\N
12074	8	OnlineShopOrderItem	4661	object	4661	Ilona	1	39.87	\N	\N	\N	\N	\N
12076	8	OnlineShopOrderItem	1402	object	1402	MP-S	1	92.96	\N	\N	\N	\N	\N
12078	8	OnlineShopOrderItem	1554	object	1554	Tokyo Stability II Women	1	65.92	\N	\N	\N	\N	\N
12080	8	OnlineShopOrderItem	5652	object	5652	MP-S	1	88.59	\N	\N	\N	\N	\N
12082	8	OnlineShopOrderItem	5037	object	5037	All Court	1	12.79	\N	\N	\N	\N	\N
12086	8	OnlineShopOrderItem	1529	object	1529	Ferdi	1	32.01	\N	\N	\N	\N	\N
12095	8	OnlineShopOrderItem	10494	object	10494	Barrow 60	1	69.95	\N	\N	\N	\N	\N
12096	8	OnlineShopOrderItem	9184	object	9184	Helium 100	1	0	\N		\N	\N	\N
12102	8	OnlineShopOrderItem	5037	object	5037	All Court	1	12.79	\N	\N	\N	\N	\N
12106	8	OnlineShopOrderItem	5697	object	5697	College	10	900	\N	\N	\N	720	MwSt|20%|144\
Tax2|5%|36
12111	8	OnlineShopOrderItem	5697	object	5697	College	1	90	\N	\N	\N	72	MwSt|20%|14.4\
Pimcore Tax|5%|3.6
12112	8	OnlineShopOrderItem	3427	object	3427	FORCE HG	1	40.194	\N	\N	\N	32.1552	MwSt|20%|6.43104\
Pimcore Tax|5%|1.60776
12114	8	OnlineShopOrderItem	1116	object	1116	College	1	79.83	\N	\N	\N	63.864	MwSt|20%|12.7728\
Pimcore Tax|5%|3.1932
12116	8	OnlineShopOrderItem	4459	object	4459	Ferdi	1	32.01	\N	\N	\N	25.608	MwSt|20%|5.1216\
Pimcore Tax|5%|1.2804
12118	8	OnlineShopOrderItem	1190	object	1190	Classic FG Jr	1	33.7	\N	\N	\N	26.96	MwSt|20%|5.392\
Pimcore Tax|5%|1.348
12120	8	OnlineShopOrderItem	10443	object	10443	Hula wms	1	45.95	\N	\N	\N	36.76	MwSt|20%|7.352\
Pimcore Tax|5%|1.838
12125	8	OnlineShopOrderItem	3843	object	3843	Beach Tec	1	77.94	\N	\N	\N	62.352	MwSt 20%|20%|12.4704\
pimcore tax|5%|3.1176
12127	8	OnlineShopOrderItem	3427	object	3427	FORCE HG	1	44.66	\N	\N	\N	35.728	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12128	8	OnlineShopOrderItem	9153	object	9153	Arium 1	1	89.955	\N	\N	\N	71.964	MwSt 20%|20%|14.3928\
pimcore tax|5%|3.5982
12134	8	OnlineShopOrderItem	9153	object	9153	Arium 1	1	89.955	\N	\N	\N	71.964	MwSt 20%|20%|14.3928\
pimcore tax|5%|3.5982
